Timestamp;unix data;Open;High;Low;Close;Volume (BTC);Volume (Currency);Weighted Price
02.02.2017;1485993600;983.79;1011.65;973.12;1009.17;8269.68;8222686.79;994.32
03.02.2017;1486080000;1009.15;1022.64;987.01;1016.99;10928.02;11029881.3;1009.32
04.02.2017;1486166400;1015.06;1044.23;1004;1033.18;5752.29;5884560.6;1022.99
05.02.2017;1486252800;1033.72;1034.6;1004.7;1011.07;4348.17;4417546.51;1015.96
06.02.2017;1486339200;1010.03;1031.94;1005.1;1023.99;5080.85;5188721.52;1021.23
07.02.2017;1486425600;1024;1056.25;1021.3;1052.48;5372.13;5605838.11;1043.5
08.02.2017;1486512000;1052.48;1070;1025;1050.4;9633.26;10072826.84;1045.63
09.02.2017;1486598400;1051.73;1074.69;913.73;986;25150.07;25064862.06;996.61
10.02.2017;1486684800;985.71;1010.68;950;996.08;10731.29;10491584.37;977.66
11.02.2017;1486771200;995.49;1020;987.62;1012.4;4472.51;4509154.73;1008.19
12.02.2017;1486857600;1011.01;1011.97;991.98;1000.73;2684;2690265.37;1002.34
13.02.2017;1486944000;1000.73;1007.89;975.1;1000.79;4547.26;4522130.78;994.47
14.02.2017;1487030400;1000.74;1019;987.97;1008.88;6761.11;6806110.34;1006.66
15.02.2017;1487116800;1008.88;1013.8;1000.97;1011.53;3095.66;3123812.22;1009.09
16.02.2017;1487203200;1011.53;1043.21;1010.75;1032.7;5996.1;6170238.86;1029.04
17.02.2017;1487289600;1032.91;1064.99;1031.98;1055.46;6085.02;6386285.16;1049.51
18.02.2017;1487376000;1055.75;1068.99;1046.14;1056.4;4474.95;4745831.61;1060.53
19.02.2017;1487462400;1056.4;1061.9;1039.07;1051.8;2270.85;2388775.41;1051.93
20.02.2017;1487548800;1051.8;1089.99;1044.39;1084;3664.37;3902660.35;1065.03
21.02.2017;1487635200;1084;1126.86;1077;1124.62;8395.47;9273663.18;1104.6
22.02.2017;1487721600;1124.83;1143;1098.16;1130.01;11673.09;13146726.04;1126.24
23.02.2017;1487808000;1130.02;1193.92;1120.73;1188.11;11753.24;13558056.03;1153.56
24.02.2017;1487894400;1183.53;1220;1091.1;1180.14;19598.23;23023500.2;1174.77
25.02.2017;1487980800;1180.05;1184.73;1127;1152.2;6238.44;7226444.77;1158.37
26.02.2017;1488067200;1152.11;1184.97;1133;1179.05;3536.49;4127618.08;1167.15
27.02.2017;1488153600;1180.46;1197.99;1169;1194.64;4640.77;5511306.9;1187.58
28.02.2017;1488240000;1194.64;1209.99;1176.27;1191.21;7562.47;9017082.51;1192.35
01.03.2017;1488326400;1191.16;1231;1188.3;1226.39;6013.07;7276140.33;1210.05
02.03.2017;1488412800;1228;1283.25;1215;1257.6;7762.73;9679539.51;1246.92
